QuestionId,Category,FieldCategory,Title,Prompt,FollowUpQuestions,ModelAnswer,University,Difficulty,Reference,Source
NLM-011,小論文,文・人文系,伝統文化の継承とグローバル化,【課題文要旨】グローバル化の中で、固有の伝統文化が失われつつある。文化を「保存」するだけでなく「活用」することの意義について、具体的な事例を一つ挙げながら600字以内で述べなさい。,,・伝統文化の衰退の背景・「保存」と「活用」の定義の違い・具体的な活用事例の提示・活用が文化継承に与えるプラスの影響・変化することへの反論に対する回答・まとめ。採点ポイント：具体的な事例（オリジナルな例）を用い、文学的表現を避け、論理的に説明できているか。,,標準,4 オリジナリティ（具体的な例）の提示と、比喩や文学的表現の回避を反映。,4
NLM-012,小論文,理工・自然科学系,科学技術の倫理的限界,【課題文要旨】遺伝子操作技術など、科学は「できること」を拡大し続けているが、倫理的に「すべきでないこと」との境界が曖昧になっている。科学の進歩をコントロールするために必要な仕組みを600字以内で論じなさい。,,・科学技術の進展に伴う倫理的リスク・現状のチェック体制の限界・提案する新たな「仕組み」（市民参画等）・その仕組みの妥当性の根拠・科学者の責任と社会の合意・まとめ。採点ポイント：問題の背景にある本質を理解し、実現可能性のある解決策を論理的に提示できているか。,,標準,4 問題の背景分析と解決策の提示、理系学部の論理構成を反映。,4
NLM-013,面接,医療・保健系,倫理観とプロ意識,あなたが志望する職種や研究分野において、最も重要だと思う『倫理』は何ですか。,もし仕事上で、その倫理と利益が相反する状況になったら、あなたはどう行動しますか？,・分野固有の倫理観の定義・それが重要な理由の分析・ジレンマ状況の想定・行動の優先順位と判断基準・誠実さと責任感の表明・長期的視点での正当性の説明。採点ポイント：専門分野の基礎知識と、困難な判断局面での論理的一貫性・誠実さを評価します。,,発展,4 専門分野の基礎知識と、医療等の特定分野における倫理性・価値観を反映。,4
NLM-014,小論文,法・政治・政策系,人口減少下における「国家のアイデンティティ」,【要旨】日本は2005年から人口減少社会に突入しており、労働力不足の解消策として移民受け入れの是非が議論されている。しかし、単なる労働力としての導入は、社会の分断や治安悪化を招くとの懸念もある。重要なのは、多様な民族を受け入れた後に、日本という国家がどのような「アイデンティティ」を再構築していくかである。／以上の要旨を踏まえ、日本は今後「多民族国家」としての道を歩むべきか、あるいは「日本独自の伝統や文化」を軸とした国家を守るべきか。あなたの考えを述べなさい。（800字）,,・移民受け入れのメリット（生産年齢人口の維持）とデメリット（摩擦、アイデンティティの希薄化）を整理する。・「愛国心」や「アイデンティティ」の定義を自ら提示する。・「日本的なもの」を固定的な伝統ではなく、他者を取り込んで更新される動的なものと捉える。・教育による統合（多文化共生教育）の具体案を検討する。・「島国根性」を超えた「World Project」としての国家像を論じる。採点ポイント：二項対立の議論を深掘りし、現実的な解決策と将来のビジョンを統合できているかを評価します。,慶應義塾大学 法学部（類似傾向）,発展,「移民受け入れとアイデンティティの議論」5。,5
NLM-015,志望理由書,国際・社会・地域系,共生社会への寄与と自己の専門性,本学のアドミッション・ポリシーにある「共生社会に寄与する能力」について、あなたのこれまでの経験に基づき、本学部で何を専門的に学び、将来どのように社会へ貢献したいと考えているか、具体的に述べてください。,,・アドミッション・ポリシーへの深い理解を示す ・「共生社会」に対する自分なりの定義を記述 ・他者との協働経験（生徒会、地域活動等）を提示 ・志望学部で修得したい具体的な知識・技能 ・卒業後の職業を通じた具体的な社会貢献イメージ ・他者とのコミュニケーション能力の誇示 ・採点ポイント：大学が求める学生像（AP）と本人の将来目標が、具体的なエピソードを通じて合致しているかを重視します。,文京学院大学,発展,6アドミッション・ポリシーの五項目（主体性、将来展望等）を反映させる指導法を引用。,6
NLM-016,面接,理工・自然科学系,工学への興味とニュース（口頭試問型）,最近気になる工学系のニュースは何ですか？,そのニュースの技術的な仕組みについて、高校で学んだ物理や数学の知識を使って説明できますか？ | その技術が社会に普及した際、どのような倫理的課題が考えられますか？,・特定の科学技術ニュース（ロボット、新素材、エネルギー等）の紹介 ・高校の学習範囲（物理法則、数式）を用いた原理の平易な説明 ・技術の社会実装におけるメリットとデメリットの分析 ・倫理的課題（安全面、格差、悪用等）に対する自身の見解 ・技術者（または専門家）として持つべき責任感の表明 ・大学で深く究明したい専門的な問いの提示 ・採点ポイント：基礎学力と専門知識の接続、および技術に対する倫理的な視点を評価します。,鹿児島大学（機械工学科等の理系学部）,発展,7 国公立大特有の口頭試問や物理・数学の知識を問う傾向を反映。,7
NLM-017,志望理由書,共通・汎用,学習履歴（調査書）の主体的解釈,あなたの高校生活における学習履歴（調査書の評定や活動実績）を振り返り、特定の科目や活動に注力した理由と、それがあなたの専門的関心にどう繋がっているか、400字以内で論理的に説明してください。,,・数値化された評定の背後にある「学習の動機」 ・特定の学問への興味が芽生えた具体的な授業や行事 ・主体的に学びを深めるために取った追加の行動（読書、学外活動等） ・自身の弱点をどう補い、強みをどう伸ばしたかの分析 ・大学での専門教育を受けるための基礎学力の自己証明 【採点ポイント】受動的な学習ではなく、自律的思考（Student Agency）を持って学んできたかを評価する。,早稲田大学等,標準,8 継続的な学習履歴（調査書）と探究活動を複雑に組み合わせる、難関大の最新評価モデルに基づく。,8
NLM-018,志望理由書,理工・自然科学系,デジタル時代における学問の誠実性,生成AI等のテクノロジーが普及する社会において、あなたが大学で「自らの足で稼ぐ一次情報」を重視する理由と、それをどのように自身の研究に活かしたいか、600字以内で記述してください。,,・AIの限界（二次情報の組み合わせ）の認識 ・身体性を伴う体験（現場での摩擦、対話）の固有価値 ・学問的誠実性（剽窃の否定とオリジナリティ）への誓約 ・具体的なフィールドワークや実験の計画 ・テクノロジーを「作業」に使い、自身は「意思決定」に集中する姿勢 【採点ポイント】AI時代の「知のあり方」に対する自己の見解と、一次情報を軽視しない学問的態度を評価する。,上智大学・早稲田大学等,標準,8 「学問的誠実性」を求める大学の指針と、一次情報の価値逆転現象を反映。,8
NLM-019,面接,理工・自然科学系,一次情報と学問的誠実性の確認,志望理由書に記載した探究活動について、最も苦労した点を教えてください。,ネットやAIで調べれば済むことを、あえて「自分の足で稼ぐ（現場に行く、対話する等）」ことで得られた発見は何ですか？ | その発見はあなたの考えをどう変えましたか？,・現場での摩擦、理不尽な現実、生々しい対話の内容 ・ネットの二次情報と一次情報のギャップの発見 ・自分の予測（Anticipation）が裏切られた時の驚きと学び ・身体性を伴う体験によって得られた、確信に満ちた言葉 ・AI時代における情報の価値判断基準の提示 ・学問的誠実性を感じさせる、自分の言葉での説明 【採点ポイント】AIには捏造できない現場のディテールを、熱量を持って語れているかを重視する。,上智大学・早稲田大学等,標準,8 現場知を重視し、AIによる虚構を見抜くアドミッションオフィサーの視点を反映。,8
NLM-020,志望理由書,理工・自然科学系,データサイエンス学部 志望理由,(文理融合型DS学部を想定) あなたが将来データ分析の知見を活かして解決したい社会問題を一つ挙げ、そのために本学部で何を学ぶ必要があるか述べなさい。,,・解決したい社会課題（環境、経済、医療等）の特定・現在の自分の知識不足（Gap）の自覚・統計学やプログラミング等、本学部で習得したいスキルの具体化・採点ポイント：文系的な問題意識と理系的な手法（DS）の融合が図られているか。大学のオープンキャンパス情報等を反映しているか。,滋賀大学、お茶の水女子大学等,発展,9 データサイエンスを活かして社会を変える姿勢を問う傾向。,9
NLM-021,志望理由書,国際・社会・地域系,グローバルリーダーへの決意表明,あなたが考える「グローバルリーダー」の定義を述べた上で、世界をどのように変えたいか、そのために本学部の国際的な環境をどう活用するか記述しなさい。,,・自分なりの「グローバルリーダー像」の定義・具体的な社会貢献のフィールド（アジア地域、ビジネス界等）・志望校の国際交流プログラムや留学制度の具体的な活用法・採点ポイント：単なる「語学学習」に留まらず、手段として語学を使い何を成し遂げるかまで言及されているか。,立教大学、APU等,発展,9 「語学を学びたい」だけでなく、手段としての語学活用を求める傾向。,9
NLM-022,志望理由書,国際・社会・地域系,地域貢献とキャリアプラン,(地域枠や地域学部を想定) 特定の地域（出身地など）が抱える課題に対し、本学での学びをどう還元したいか、将来のキャリアプランと共に述べなさい。,,・対象地域の具体的な課題分析・大学での専門的な学びの内容・将来その地域でどのように働くか（公務員、起業等）・採点ポイント：地域のニーズと大学の教育目的が一致しているか。実現可能性のあるプランか。,秋田大学、地域系学部等,標準,9 資源政策や地域課題に対する行政・公務での関与を求める傾向。,9
NLM-023,小論文,医療・保健系,高齢社会における医療と倫理,「尊厳死」や「在宅医療」など、超高齢社会が直面する課題について、患者の権利と医師の責任の観点からあなたの考えを記述しなさい。（課題文なし・テーマ型・800字）,,・序論：高齢化に伴う終末期医療の現状提示・本論1：患者の自己決定権（インフォームド・コンセント）の重要性・本論2：医師・家族が直面する倫理的葛藤と多職種連携の必要性・結論：個人の尊厳を守るための社会のあり方・採点ポイント：感情論にならず、客観的な分析と論理的根拠があるか。「思う」だけでなく断定の表現が使えるか。,,発展,"10, 11 高齢社会、医療倫理のテーマと、小論文の論理性重視の観点。","10, 11"
NLM-024,小論文,医療・保健系,地域医療格差と医師の偏在,都市部に医師が集中し、地方で不足する「医師の偏在」が問題となっている。この問題を解決するために、行政や医療機関が取るべき対策について提案しなさい。,,・序論：地域間の医師数格差の現状・本論1：現在の対策（地域枠等）の効果と残された課題・本論2：ICT（遠隔医療）の活用や勤務環境改善などの新規提案・結論：全ての国民が均等に医療を受けられる社会の実現・採点ポイント：課題の本質を捉え、独自の解決策を提示できているか。医療知識があるか。,,発展,10 地域医療の課題解決能力を問う指導観点。,10
NLM-025,小論文,共通・汎用,フールプルーフの概念と社会設計,「フールプルーフ」の考え方が活かされている身近な事例を挙げ、それが社会の安全や利便性にどう寄与しているか、あなたの考えを1000字以内で述べなさい。,,・序論：フールプルーフの定義（誤操作防止設計）の説明・本論1：具体的な事例（洗濯機、ガスコンロ、医療機器等）の提示・本論2：ヒューマンエラーを前提としたシステム設計の重要性分析・結論：誰もが安心して暮らせる「ユニバーサルデザイン」への展開・採点ポイント：概念を正しく理解し、具体例から抽象的な分析へ繋げられているか。,横浜市立大学等,標準,10 2024年度横浜市立大学の出題事例（概念の考察）に基づく。,10
NLM-026,小論文,医療・保健系,チーム医療におけるコミュニケーション,現代医療において「チーム医療」が重視される背景を述べ、異なる職種が連携する際に最も重要だと考えることは何か、自身の考えを記述しなさい。,,・序論：高度化・複雑化する現代医療における多職種連携の必要性・本論1：情報の共有（インフォームド・コンセント）の質向上・本論2：互いの専門性を尊重しつつ、患者中心の視点を持つこと・結論：より良い医療を提供するためのコミュニケーションのあり方・採点ポイント：医師としての独断ではなく、他職種への共感性や協調性が示されているか。,,標準,10 チーム医療・多職種連携とコミュニケーション能力の重視。,10
NLM-027,小論文,共通・汎用,「学ぶこと」の意義と創造性,(課題文型) 学問を「役立つか否か」で判断する傾向がある中、未知の事柄を学ぶ喜びや創造することの価値について、あなたの体験を含めて述べなさい。（800字）,,・序論：実学重視の風潮に対する疑問提示・本論1：自身の体験（探究活動や部活動）における発見の喜び・本論2：一見無駄に見える学びが、新たな価値を創造する原動力になる分析・結論：生涯学び続ける姿勢の重要性・採点ポイント：課題文の要旨を正確に反映しつつ、自身のオリジナリティある体験を統合できているか。,東海大学等,標準,10 2025年度東海大学の出題事例（学ぶ喜び、自身の体験）に基づく。,10
NLM-028,小論文,医療・保健系,医師の働き方改革と医療の質,医師の長時間労働の是正（働き方改革）が進められているが、これにより懸念される「医療サービスの低下」をどう防ぐべきか。あなたの提言を述べなさい。,,・序論：医師の過酷な労働環境と改革の必要性・本論1：タスク・シフティング（業務分担）の推進・本論2：デジタル化による業務効率化と質の担保・結論：持続可能な医療体制の構築・採点ポイント：社会問題に対する具体的な解決策を提示できているか。一貫性があるか。,,発展,10 医師の働き方改革と課題発見・解決能力の評価。,10
NLM-029,小論文,医療・保健系,科学技術の進歩と倫理的葛藤,ゲノム編集や再生医療など、生命の根源に関わる技術が進歩している。これらの技術を利用する際に、我々が守るべき一線（倫理的基準）とは何か。,,・序論：先端医療技術の進歩による恩恵とリスクの提示・本論1：優生思想への懸念や生命の尊厳に対する議論・本論2：社会全体での合意形成と透明性のあるルール作り・結論：技術の暴走を防ぐための「人間性」の再定義・採点ポイント：高度な医療知識を論理的に構成できているか。一貫した倫理観があるか。,,発展,10 再生医療・遺伝子治療の進歩と倫理的課題の頻出テーマ。,10
NLM-030,面接,医療・保健系,医師としての適性と倫理観,(医学部) あなたが理想とする医師像を教えてください。また、忙しい臨床現場で、患者の「人間性」を尊重するために、あなたならどう行動しますか？,,・理想の医師像の提示・多忙な中でも「さんづけ」や傾聴など、個人を尊重する具体的な習慣・チーム医療の中での自身の振る舞い・採点ポイント：知識だけでなく、豊かな人間性と高いコミュニケーション能力を感じさせるか。,,標準,"10, 12 ポジションではなく「個人」として接する人間関係能力と医師適性。","10, 12"
NLM-031,志望理由書,共通・汎用,挫折経験と大学での探究テーマ,高校生活において最も大きな挫折や失敗を経験した出来事を取り上げ、その経験から何を学んだか、そしてその学びを志望する学部・学科での学修や研究にどのように結びつけていくか、800字以内で論じなさい。,,"要点：
1. 高校時代に直面した具体的な挫折・失敗経験の提示
2. 失敗の原因を客観的に分析する姿勢
3. 失敗から得られた教訓や自身の価値観の変化
4. その教訓と志望学部の学問分野との論理的なつながり
5. 大学で具体的に取り組みたい研究・学習テーマの提示
6. 卒業後にその学びを社会でどう活かすかという展望

採点ポイント：単なる苦労話に終始せず、失敗を客観的に分析できているかが重要です。また、その経験が志望理由に結びつくプロセスに必然性が感じられるかを評価します。",,標準,9割受かる！公務員試験 「作文・小論文」の勉強法.pdf (過去の失敗経験から未来の志望理由への接続を求める指導観点を応用),NotebookLM（131資料）
NLM-032,志望理由書,医療・保健系,専門職志望とカリキュラムの合致,あなたが将来目指す専門的な職業（例：教師、看護師、公認会計士など）を明記し、その職業に就くために不可欠だと考える資質や能力を挙げなさい。その上で、本学のカリキュラムや教育環境が、その能力を身につける上でどのように最適であるかを600字以内で説明しなさい。,,"要点：
1. 将来目指す明確な職業像の提示
2. その職業において現代社会で求められる役割や能力の分析
3. 自身に現在不足している知識やスキルの自覚
4. 志望大学独自のカリキュラム（実習、資格課程など）の具体的な提示
5. 大学の特色が自身の課題克服や目標達成に合致していることの論証

採点ポイント：目指す職業の一般的なイメージだけでなく、現代の課題に即した役割を理解しているかが問われます。また、他大学ではなくなぜその大学なのかを、具体的なカリキュラム名を挙げて説得力を持たせているかが評価されます。",,基礎,高１からはじめる志望理由書・面接対策 もう失敗しない！ 高１からはじめる大学受験シリーズ.pdf (「なぜ大学に？」「なぜその大学に？」という明確な理由付けを求める観点を応用),NotebookLM（131資料）
NLM-033,志望理由書,経済・経営系,少子高齢化に伴う労働市場の課題,少子高齢化の進行により、日本では深刻な労働力不足が懸念されています。この問題に対して、あなたが関心を持っている業界や企業はどのような対策を講じるべきと考えますか。また、その解決のために本学経営学部でどのような知識やスキルを身につけたいか、800字以内で記述しなさい。,,"要点：
1. 少子高齢化と労働力不足に関する現状の客観的分析
2. 関心のある業界・企業における具体的な影響や課題の提示
3. 課題解決に向けた自分なりの仮説やアプローチの提示
4. そのアプローチを実現するために経営学部で学ぶべき領域（人事、組織論など）の明示
5. 本学の特徴的なプログラムやゼミでの具体的な学修計画

採点ポイント：社会問題（マクロ）と特定の業界・企業（ミクロ）の課題を論理的に結びつけられているかがポイントです。大学での学びがその課題解決の手段として機能しているかの一貫性を評価します。",,標準,【2026年度】小論文の頻出テーマ予想10選| ProofPath (頻出テーマ「少子高齢化・人口減少」を経営学部の志望理由に接続する観点を応用),NotebookLM（131資料）
NLM-034,志望理由書,教育・保育系,学際的な視点からアプローチする課題,現代の複雑な社会課題は、単一の学問分野だけでは解決が困難になっています。あなたが最も関心を持っている社会課題を一つ挙げ、それを解決するために、本学の「文理融合」あるいは「学際的」なカリキュラムをどのように活用して研究したいか、800字以内で述べなさい。,,"要点：
1. 解決が困難な現代の複合的課題の提示（例：生命倫理、環境政策など）
2. その課題が単一の専門知識だけでは解決できない理由の考察
3. 課題解決のために必要となる複数の学問分野（例：法学と生体科学など）の提示
4. 志望大学の学際的プログラムや文理融合カリキュラムの具体的な特徴
5. それらを組み合わせた自分なりの研究アプローチの立案
6. 社会的意義や将来のビジョン

採点ポイント：課題の複合性を深く理解できているかが問われます。また、大学の学際的なカリキュラムを単に羅列するのではなく、自身の研究目的の達成にどう不可欠かを論理的に説明できているかが評価の対象です。",,発展,学校推薦型選抜・総合型選抜 だれでも上手にまとまる 志望理由書合格ノート.pdf (複数の専攻分野を同時に履修できる学際系学部の志望理由書作成メソッドを応用),NotebookLM（131資料）
NLM-035,志望理由書,文・人文系,読書体験を起点とした学問的探究,高校生活の中で読んだ本（教科書や参考書を除く）の中で、あなたの価値観や進路選択に最も大きな影響を与えた一冊を挙げてください。その本から得た知見や疑問を踏まえ、本学の文学部（または人文学部）でどのようなテーマを深く探究したいか、600字以内でまとめなさい。,,"要点：
1. 影響を受けた書籍の紹介と、その内容の簡潔な要約
2. その本を読んで生じた自身の価値観の変化や新たな疑問の提示
3. 疑問を解決、あるいはさらに探究したいという知的好奇心の表現
4. その探究テーマが志望する学部・学科の学問領域とどのように合致するかの説明
5. 大学で学びたい具体的な分野や時代の指定

採点ポイント：読書感想文に終わらず、本から得た知見が「学問的な問い」へと昇華されているかが重要です。大学での研究内容が、その問いの延長線上にあることが論理的に伝わるかを評価します。",,基礎,365日の小論文_ ここから始める練習・解説帳.pdf (関心領域における知識の蓄積と、書籍からの影響を志望理由に結びつける指導観点を応用),NotebookLM（131資料）
NLM-036,志望理由書,スポーツ系,組織運営の経験と経営学・社会学,あなたが所属していた部活動や委員会などの課外活動において、組織を運営する上で直面した最大の困難は何でしたか。その困難にどのように対処したかを含めて述べた上で、その経験から生じた「組織と人間」に関する問いを、本学でどのように学術的に研究したいか論じなさい。（800字）,,"要点：
1. 課外活動における組織運営上の具体的な困難（対立、モチベーション低下など）の提示
2. 困難に対する自身のアプローチと行動の具体例
3. 経験を通じて得た組織や人間関係に関する気づきや教訓
4. その気づきから導き出された「組織論」「社会心理学」などに関する学術的な問い
5. 志望大学の関連する講義や研究室での学びの計画
6. 将来、社会の組織の中でどう貢献したいかの展望

採点ポイント：単なる部活動の成果アピールではなく、直面した課題から「普遍的な組織の課題」へと視野を広げられているかを評価します。実体験に基づいた学問への動機づけができているかが鍵となります。",,標準,ES・面接の回答構造ガクチカ・自己PR・志望動機.pdf (過去の実体験に基づく問題意識から学部を選択する構成法を応用),NotebookLM（131資料）
NLM-037,志望理由書,共通・汎用,日常の疑問から始まる専門研究の志望,日常生活を送る中で、あなたが「なぜこうなっているのだろう」「もっとこうすれば良いのに」と疑問や不満を抱いた事象を一つ挙げてください。その事象の背景にある社会的・構造的な原因を考察し、本学での学びを通じてどのようにその解決策を探究したいか、800字以内で記述しなさい。,,"要点：
1. 身近な生活の中で発見した具体的な疑問や問題の提示
2. その問題が放置されている背景や構造的な原因に関する独自の仮説
3. 仮説を検証し、解決策を導き出すために必要な学問分野の明示
4. 志望大学の特定の教授や研究室、プログラムへの言及
5. 大学で学びたい具体的な研究アプローチや手法

採点ポイント：日常の些細な疑問から社会の構造的な課題へと論理を飛躍させずに展開できているかが問われます。自分なりの仮説を持ち、それを大学の学問と関連づける思考力を評価します。",,標準,魔法の就活 親子関係からの自己肯定感が内定を決める.pdf (日常からの問題発見を志望に結びつける観点を応用),NotebookLM（131資料）
NLM-038,志望理由書,教育・保育系,大学の教育実践との出会いと志望動機,あなたが本学のオープンキャンパスや公開講座、模擬授業などに参加（あるいはオンラインで視聴）して、最も印象に残った学問的アプローチや教育内容は何ですか。そこから得た気づきと、自身の将来の目標を照らし合わせ、本学を第一志望とする理由を600字以内で述べなさい。,,"要点：
1. 大学のイベントや模擬授業等で実際に触れた具体的な内容の提示
2. その内容から受けた知的な刺激や、高校までの学びとの違いの発見
3. 自身の将来の目標や成し遂げたいこと（To Be）の明確化
4. 大学で提供される教育（印象に残ったアプローチ）が、目標達成にいかに必要かの論証
5. 他大学にはない本学独自の魅力や教育環境への言及

採点ポイント：大学のパンフレットの丸写しではなく、自分の体験や感覚を通した言葉で大学の魅力を語れているかが重要です。自分の将来像と大学の教育理念が一致している（マッチング）ことが伝わるかを評価します。",,基礎,学校推薦型選抜・総合型選抜 だれでも上手にまとまる 志望理由書合格ノート.pdf (模擬授業等での具体的なエピソードを用いて志望校への熱意を伝える手法を応用),NotebookLM（131資料）
