QuestionId	Category	FieldCategory	Title
NLM-042	志望理由書	共通・汎用	10年後の理想像から逆算する大学4年間
NLM-043	志望理由書	経済・経営系	多文化共生と伝統文化の継承
NLM-044	志望理由書	医療・保健系	医療現場の課題解決と専門職の使命
NLM-045	面接	文・人文系	尊敬する人物とその理由
NLM-046	面接	心理系	困難な状況下でのストレス対処
NLM-047	面接	共通・汎用	価値観の異なる相手との協働
NLM-048	面接	共通・汎用	自分を表すキャッチコピーと理由
NLM-049	面接	共通・汎用	価値観を変えたターニングポイント
NLM-050	面接	教育・保育系	未知の課題へのアプローチ
NLM-051	面接	共通・汎用	集団での意見対立と調整行動
NLM-052	面接	共通・汎用	最近関心を持ったニュースと見解
NLM-053	面接	教育・保育系	逆質問を通じた主体性と意欲
NLM-054	面接	共通・汎用	他大学との比較と進学の覚悟
NLM-055	面接	共通・汎用	自由な資源の活用と価値観
NLM-056	面接	共通・汎用	困難を乗り越えるための座右の銘
NLM-057	面接	共通・汎用	学業以外で大学時代に挑戦したい事
NLM-058	面接	芸術・デザイン系	最近感動した出来事と感性
NLM-059	小論文	経済・経営系	ジョブ型雇用の導入と日本社会
NLM-060	小論文	法・政治・政策系	若者の政治参加と民主主義の課題
NLM-061	小論文	経済・経営系	ベーシックインカムの導入是非と経済
NLM-062	小論文	法・政治・政策系	裁判員制度の意義と今後の課題
NLM-063	小論文	法・政治・政策系	食料安全保障と日本の農業政策
NLM-064	小論文	法・政治・政策系	社会的孤立・孤独問題と支援のあり方
NLM-065	小論文	教育・保育系	探究学習の教育的意義と現場の課題
NLM-066	小論文	理工・自然科学系	自動運転車の事故における法的・倫理的責任
NLM-067	小論文	医療・保健系	予防医療の推進と個人の自由のジレンマ
NLM-068	小論文	芸術・デザイン系	公共空間におけるアートの役割と意義
NLM-069	小論文	経済・経営系	ゲノム編集食品の普及と社会的受容
NLM-070	小論文	教育・保育系	現代社会において古典文学を学ぶ意義
NLM-071	小論文	経済・経営系	オーバーツーリズムの課題と持続可能な観光
NLM-072	小論文	教育・保育系	リモートコミュニケーションの功罪と今後
NLM-073	小論文	スポーツ系	スポーツにおけるテクノロジー導入の是非
NLM-074	小論文	法・政治・政策系	コンパクトシティ政策のメリットと課題
NLM-075	小論文	理工・自然科学系	監視社会における安全とプライバシー
NLM-076	小論文	経済・経営系	男性の育児休業取得「義務化」の是非
NLM-077	小論文	理工・自然科学系	外来種駆除の生態学的意義と動物愛護
NLM-078	小論文	経済・経営系	キャッシュレス化の進行と情報弱者
NLM-079	小論文	国際・社会・地域系	巨額の宇宙開発予算に対する投資意義
NLM-080	小論文	医療・保健系	セルフメディケーションと専門家の役割
NLM-081	志望理由書	理工・自然科学系	農学・バイオ系：幼少期の自然体験と食の安全
NLM-082	志望理由書	教育・保育系	芸術・デザイン系：創作の壁とパブリックアート
NLM-083	志望理由書	スポーツ系	スポーツ科学系：怪我の経験とバイオメカニクス
NLM-084	志望理由書	医療・保健系	心理学系：対人関係の葛藤と臨床心理
NLM-085	志望理由書	教育・保育系	法学系：身近なルールの疑問と法整備
NLM-086	志望理由書	経済・経営系	経済学系：身近な経済活動の疑問から理論へ
NLM-087	志望理由書	教育・保育系	教育学系：特別支援教育と多様性の尊重
NLM-088	志望理由書	国際・社会・地域系	建築・土木系：災害からの復興とまちづくり
NLM-089	志望理由書	経済・経営系	観光学系：地域観光の明暗と持続可能性
NLM-090	志望理由書	芸術・デザイン系	情報学系：使いやすさの追求とUI/UX
NLM-091	志望理由書	理工・自然科学系	社会学系：家族のあり方の変化と社会構造
NLM-092	志望理由書	医療・保健系	薬学系：服薬の苦労と個別化医療
NLM-093	志望理由書	国際・社会・地域系	文学・歴史学系：地域の歴史の保存と継承
NLM-094	志望理由書	国際・社会・地域系	国際関係系：開発援助の違和感と持続可能性
NLM-095	志望理由書	国際・社会・地域系	理学・地球科学系：異常気象の体験と環境解析
NLM-096	志望理由書	医療・保健系	福祉系：介護の経験とテクノロジーの融合
NLM-097	志望理由書	医療・保健系	栄養学系：スポーツ実践と食の課題
NLM-098	志望理由書	医療・保健系	歯学系：口腔ケアの体験と全身疾患
NLM-099	志望理由書	医療・保健系	獣医学系：動物福祉と公衆衛生の架け橋
NLM-100	志望理由書	経済・経営系	航空宇宙工学系：次世代モビリティと社会課題
NLM-101	面接	教育・保育系	建学の精神と自身の価値観の合致
NLM-102	面接	共通・汎用	他者からの客観的評価と自己認識
NLM-103	面接	共通・汎用	リーダーシップの捉え方と実践
NLM-104	面接	共通・汎用	無人島への持参物から見る価値観
NLM-105	面接	共通・汎用	規則の遵守と人道的対応の対立
NLM-106	面接	法・政治・政策系	SNSの功罪と法規制のあり方
NLM-107	面接	芸術・デザイン系	これまでの人生につけるタイトル
NLM-108	面接	共通・汎用	10年後のビジョンと現状の課題
NLM-109	面接	共通・汎用	人生最大の失敗と過去のやり直し
NLM-110	面接	法・政治・政策系	若者の投票率を上げるアイデア提案
NLM-111	面接	共通・汎用	少数意見の主張とチームの合意形成
NLM-112	面接	理工・自然科学系	モチベーションの源泉と環境
NLM-113	面接	理工・自然科学系	生成AIの進化と自身のキャリア
NLM-114	面接	教育・保育系	身近な事象の論理的推定
NLM-115	面接	共通・汎用	望まない役割への向き合い方
NLM-116	面接	共通・汎用	長期継続の経験と辞めなかった理由
NLM-117	面接	共通・汎用	学びの社会的還元
NLM-118	面接	教育・保育系	突然の自由時間の使い道
NLM-119	面接	国際・社会・地域系	本学があなたを合格させるメリット
NLM-120	面接	共通・汎用	日常の習慣と自己管理
NLM-121	小論文	理工・自然科学系	生分解性プラスチックの開発と環境負荷
NLM-122	小論文	理工・自然科学系	歴史的建築物の保存と現代的活用の両立
NLM-123	小論文	法・政治・政策系	オープンデータ化と市民参加型社会
NLM-124	小論文	法・政治・政策系	海洋資源の枯渇と持続可能な水産業
NLM-125	小論文	経済・経営系	フェアトレードの推進と消費者の役割
NLM-126	小論文	芸術・デザイン系	生成AIによる表現活動と著作権の保護
NLM-127	小論文	スポーツ系	メガスポーツイベントが残すレガシー
NLM-128	小論文	教育・保育系	ダークツーリズムの意義と倫理的課題
NLM-129	小論文	法・政治・政策系	公共施設の老朽化と統廃合における合意形成
NLM-130	小論文	国際・社会・地域系	宇宙デブリ問題の解決と国際的ルール形成
NLM-131	小論文	法・政治・政策系	エコーチェンバー現象と民主主義の危機
NLM-132	小論文	経済・経営系	森林の多面的機能の保全と林業の活性化
NLM-133	小論文	芸術・デザイン系	「文化の盗用」をめぐる異文化理解の境界線
NLM-134	小論文	芸術・デザイン系	ユニバーサルデザインの社会実装と意識変革
NLM-135	小論文	スポーツ系	eスポーツの発展と「スポーツ」の再定義
NLM-136	小論文	芸術・デザイン系	伝統工芸品の継承と現代的イノベーション
NLM-137	小論文	法・政治・政策系	行政のクラウドファンディング活用と課題
NLM-138	小論文	理工・自然科学系	再生可能エネルギーの主力電源化と技術的課題
NLM-139	小論文	芸術・デザイン系	コンテンツツーリズムとファンコミュニティの役割
NLM-140	小論文	経済・経営系	培養肉技術の開発と食文化への影響
NLM-141	志望理由書	芸術・デザイン系	公共政策系：地域の過疎化問題と自治体DX
NLM-142	志望理由書	国際・社会・地域系	情報工学系：SNSのアルゴリズム偏向と健全な環境
NLM-143	志望理由書	芸術・デザイン系	建築・空間デザイン系：心のバリアフリーと共生
NLM-144	志望理由書	経済・経営系	農林水産・海洋系：海洋プラスチック問題と環境保全
NLM-145	志望理由書	国際・社会・地域系	国際関係系：異文化交流での摩擦と相互理解
NLM-146	志望理由書	芸術・デザイン系	芸術・メディア系：生成AIとクリエイターの権利保護
NLM-147	志望理由書	スポーツ系	スポーツマネジメント系：スポーツイベントの地域への還元
NLM-148	志望理由書	国際・社会・地域系	観光学系：ダークツーリズムと倫理的課題
NLM-149	志望理由書	経済・経営系	機械工学系：危険作業の自動化と人間社会の協働
NLM-150	志望理由書	理工・自然科学系	理学・生物学系：外来種駆除のジレンマと生態系
NLM-151	志望理由書	経済・経営系	森林・環境学系：放置林の増加と林業の再生
NLM-152	志望理由書	医療・保健系	看護・公衆衛生系：パンデミック下の情報錯綜と健康教育
NLM-153	志望理由書	教育・保育系	社会・ジェンダー学系：無意識の偏見と多様性の受容
NLM-154	志望理由書	経済・経営系	経済・商学系：デジタル化の推進と情報弱者の課題
NLM-155	志望理由書	教育・保育系	法学・政治学系：若者の政治的無関心と主権者教育
NLM-156	志望理由書	教育・保育系	教育・児童学系：画一的な学校教育の限界と多様な学び
NLM-157	志望理由書	文・人文系	文学・哲学系：実利主義への違和感と普遍的価値の探求
NLM-158	志望理由書	国際・社会・地域系	都市工学・交通系：地方の交通弱者と次世代モビリティ
NLM-159	志望理由書	理工・自然科学系	水産・食品科学系：新しいタンパク質源と食文化の調和
NLM-160	志望理由書	経済・経営系	経営・起業系：地域産業の衰退と新事業による再生
NLM-161	面接	共通・汎用	高校の勉強と大学の研究の違い
NLM-162	面接	共通・汎用	日本全国の美容室の数の推定
NLM-163	面接	理工・自然科学系	自動運転技術の普及とトロッコ問題
NLM-164	面接	国際・社会・地域系	空き家の増加と地域活性化のアイデア
NLM-165	面接	共通・汎用	不要なものを組み合わせた新商品提案
NLM-166	面接	スポーツ系	チーム内の非協力的なメンバーへの対応
NLM-167	面接	心理系	これまでの人生で最も理不尽だった経験
NLM-168	面接	共通・汎用	自分自身を「色」に例えると
NLM-169	面接	経済・経営系	類似する学問領域との違いと選択理由
NLM-170	面接	共通・汎用	SDGsの目標における優先順位づけ
NLM-171	面接	医療・保健系	個人の遺伝情報利用とプライバシー保護
NLM-172	面接	国際・社会・地域系	世代や価値観の異なる人との協働
NLM-173	面接	スポーツ系	複数タスクの同時進行と優先順位
NLM-174	面接	共通・汎用	100万円の無条件提供とその使い道
NLM-175	面接	理工・自然科学系	10年後の職業の消滅と誕生
NLM-176	面接	法・政治・政策系	第一志望学部以外の選択肢と目標達成
NLM-177	面接	共通・汎用	タイムマシンでの過去・未来への移動
NLM-178	面接	経済・経営系	キャッシュレス社会における現金の存在意義
NLM-179	面接	スポーツ系	結果とプロセスの評価基準
NLM-180	面接	共通・汎用	身近な人からの忠告と自身の弱点
NLM-181	小論文	法・政治・政策系	量子技術の社会実装と安全保障
NLM-182	小論文	芸術・デザイン系	災害復興におけるコミュニティデザイン
NLM-183	小論文	理工・自然科学系	培養肉の普及と食文化の変容
NLM-184	小論文	理工・自然科学系	海洋資源開発と生態系保全
NLM-185	小論文	国際・社会・地域系	地方空港の維持と公共性
NLM-186	小論文	経済・経営系	宇宙ごみ対策と国際ルール
NLM-187	小論文	国際・社会・地域系	デジタル遺品と死後のプライバシー
NLM-188	小論文	医療・保健系	動物園の教育的役割と動物福祉
NLM-189	小論文	教育・保育系	大学教育の無償化と受益者負担
NLM-190	小論文	教育・保育系	方言の継承と標準語教育
NLM-191	小論文	共通・汎用	電子書籍時代の公共図書館
NLM-192	小論文	文・人文系	文化財返還と博物館の責任
NLM-193	小論文	医療・保健系	遺伝子検査サービスと自己決定
NLM-194	小論文	医療・保健系	代替医療と科学的根拠
NLM-195	小論文	教育・保育系	学校部活動の地域移行
NLM-196	小論文	理工・自然科学系	高層木造建築と都市の脱炭素
NLM-197	小論文	経済・経営系	サーキュラーエコノミーと製品設計
NLM-198	小論文	理工・自然科学系	水素社会の実現可能性
NLM-199	小論文	教育・保育系	都市農業の価値と土地利用
NLM-200	小論文	法・政治・政策系	公共交通の無償化
NLM-201	小論文	法・政治・政策系	週休3日制と生産性
NLM-202	小論文	共通・汎用	選択的夫婦別姓と家族制度
NLM-203	小論文	教育・保育系	子どもの意見表明権と学校運営
NLM-204	小論文	法・政治・政策系	観光税の導入と地域経済
NLM-205	小論文	法・政治・政策系	フードバンクと食品流通の責任
NLM-206	小論文	理工・自然科学系	音声合成と故人の再現
NLM-207	小論文	医療・保健系	オンライン診療と医療アクセス
NLM-208	小論文	教育・保育系	学校給食の無償化
NLM-209	小論文	医療・保健系	eスポーツの競技性と教育利用
NLM-210	小論文	文・人文系	伝統工芸の機械化と真正性
NLM-211	小論文	国際・社会・地域系	国立公園の利用制限
NLM-212	小論文	経済・経営系	修理する権利とメーカー責任
NLM-213	小論文	国際・社会・地域系	ニュース課金と知る権利
NLM-214	小論文	共通・汎用	匿名寄付と社会的信頼
NLM-215	小論文	理工・自然科学系	出生前診断と社会的包摂
NLM-216	小論文	教育・保育系	刑務所における教育と再犯防止
NLM-217	小論文	経済・経営系	道路空間の再配分
NLM-218	小論文	共通・汎用	公共放送の役割と受信料
NLM-219	小論文	経済・経営系	農業用ロボットと地域雇用
NLM-220	小論文	理工・自然科学系	深海探査の科学的価値
NLM-221	志望理由書	理工・自然科学系	航空宇宙工学：模型ロケットの失敗から始まる探究
NLM-222	志望理由書	理工・自然科学系	建築・都市計画：空き家改修の地域活動から始まる探究
NLM-223	志望理由書	理工・自然科学系	水産学：海岸清掃で見た漂着ごみから始まる探究
NLM-224	志望理由書	理工・自然科学系	森林科学：里山保全ボランティアから始まる探究
NLM-225	志望理由書	理工・自然科学系	材料工学：壊れた製品の修理経験から始まる探究
NLM-226	志望理由書	理工・自然科学系	地球科学：豪雨災害の観察記録から始まる探究
NLM-227	志望理由書	理工・自然科学系	統計学：校内アンケートの分析から始まる探究
NLM-228	志望理由書	文・人文系	図書館情報学：地域資料のデジタル化から始まる探究
NLM-229	志望理由書	文・人文系	文化財保存学：地域の古建築調査から始まる探究
NLM-230	志望理由書	文・人文系	言語学：方言の聞き取り調査から始まる探究
NLM-231	志望理由書	文・人文系	宗教学：異なる宗教行事への参加から始まる探究
NLM-232	志望理由書	文・人文系	哲学・倫理学：AI利用ルールの議論から始まる探究
NLM-233	志望理由書	法・政治・政策系	公共政策学：子ども議会への参加から始まる探究
NLM-234	志望理由書	国際・社会・地域系	国際開発学：フェアトレード商品の販売から始まる探究
NLM-235	志望理由書	国際・社会・地域系	平和学：戦争体験者への聞き取りから始まる探究
NLM-236	志望理由書	国際・社会・地域系	観光学：地域ガイド活動から始まる探究
NLM-237	志望理由書	経済・経営系	スポーツ経営学：大会運営ボランティアから始まる探究
NLM-238	志望理由書	医療・保健系	栄養学：家族の食事記録改善から始まる探究
NLM-239	志望理由書	医療・保健系	作業療法学：福祉施設での創作活動から始まる探究
NLM-240	志望理由書	医療・保健系	臨床検査学：感染症検査への関心から始まる探究
NLM-241	志望理由書	医療・保健系	放射線技術学：医療画像の説明を受けた経験から始まる探究
NLM-242	志望理由書	医療・保健系	歯学：地域の口腔ケア活動から始まる探究
NLM-243	志望理由書	医療・保健系	獣医学：保護動物の世話から始まる探究
NLM-244	志望理由書	医療・保健系	薬学：薬の飲み合わせへの疑問から始まる探究
NLM-245	志望理由書	医療・保健系	法医学：科学捜査の記事研究から始まる探究
NLM-246	志望理由書	心理系	犯罪心理学：非行防止活動の観察から始まる探究
NLM-247	志望理由書	教育・保育系	教育工学：学習アプリの制作から始まる探究
NLM-248	志望理由書	教育・保育系	特別支援教育：学習支援ボランティアから始まる探究
NLM-249	志望理由書	教育・保育系	幼児教育：読み聞かせ活動から始まる探究
NLM-250	志望理由書	理工・自然科学系	音響工学：学校行事の音響担当から始まる探究
NLM-251	志望理由書	芸術・デザイン系	映像学：地域記録映像の制作から始まる探究
NLM-252	志望理由書	芸術・デザイン系	舞台芸術学：演劇の共同制作から始まる探究
NLM-253	志望理由書	芸術・デザイン系	ファッションデザイン：衣服のリメイクから始まる探究
NLM-254	志望理由書	芸術・デザイン系	プロダクトデザイン：高齢者向け道具の試作から始まる探究
NLM-255	志望理由書	芸術・デザイン系	ゲーム研究：学習ゲームの企画から始まる探究
NLM-256	志望理由書	理工・自然科学系	数理科学：数学コンテストの試行錯誤から始まる探究
NLM-257	志望理由書	理工・自然科学系	エネルギー工学：太陽光発電量の計測から始まる探究
NLM-258	志望理由書	理工・自然科学系	海事科学：港湾見学と物流調査から始まる探究
NLM-259	志望理由書	理工・自然科学系	気象学：毎日の気象観測から始まる探究
NLM-260	志望理由書	文・人文系	アーカイブズ学：学校史資料の整理から始まる探究
NLM-261	面接	共通・汎用	限られた情報での意思決定
NLM-262	面接	共通・汎用	自分の仮説が誤っていた経験
NLM-263	面接	共通・汎用	専門家への反対意見
NLM-264	面接	共通・汎用	成果が見えない努力
NLM-265	面接	共通・汎用	ルールの例外を認める条件
NLM-266	面接	理工・自然科学系	データと直感の対立
NLM-267	面接	共通・汎用	公共利益と個人利益
NLM-268	面接	共通・汎用	失敗を共有する責任
NLM-269	面接	共通・汎用	見えない貢献の評価
NLM-270	面接	共通・汎用	反対者を巻き込む方法
NLM-271	面接	共通・汎用	専門用語を使わない説明
NLM-272	面接	共通・汎用	研究成果の悪用リスク
NLM-273	面接	共通・汎用	再現性と独創性
NLM-274	面接	共通・汎用	多数決を使わない合意形成
NLM-275	面接	共通・汎用	知らないことを認める力
NLM-276	面接	共通・汎用	撤退を決める基準
NLM-277	面接	共通・汎用	予算半減への対応
NLM-278	面接	心理系	批判と人格の切り分け
NLM-279	面接	共通・汎用	異なる世代との協働
NLM-280	面接	共通・汎用	時間をかける価値
NLM-281	面接	理工・自然科学系	技術が解決できない問題
NLM-282	面接	共通・汎用	学問の境界を越える
NLM-283	面接	国際・社会・地域系	地域外の視点
NLM-284	面接	教育・保育系	公平と平等の違い
NLM-285	面接	共通・汎用	数値化できない価値
NLM-286	面接	法・政治・政策系	未来世代への責任
NLM-287	面接	共通・汎用	情報源の信頼性
NLM-288	面接	理工・自然科学系	成功の再現可能性
NLM-289	面接	共通・汎用	善意が害になる場合
NLM-290	面接	共通・汎用	責任者不在のチーム
NLM-291	面接	共通・汎用	成果の分配
NLM-292	面接	共通・汎用	秘密を守る限界
NLM-293	面接	共通・汎用	変化しないことの価値
NLM-294	面接	共通・汎用	不便を残す設計
NLM-295	面接	共通・汎用	問いを立て直す力
NLM-296	面接	共通・汎用	偶然を学びに変える
NLM-297	面接	共通・汎用	権限と説明責任
NLM-298	面接	共通・汎用	専門性と市民感覚
NLM-299	面接	共通・汎用	短期成果と長期価値
NLM-300	面接	共通・汎用	大学で手放したい習慣
